"","Gene_name","Protein_name","Protein_ID","Fold_change","P_value","Intersection"
"272","PDE3A","cGMP-inhibited 3,5-cyclic phosphodiesterase A","Q14432",4.16924920973648,0.00028062449,"PE"
"273","SLC29A1","Equilibrative nucleoside transporter 1","Q99808",4.13069313831501,0.00027407834,"PE"
"274","CAP1","Adenylyl cyclase-associated protein 1","Q01518",4.11072166585386,0.024328539,"PE"
"275","XRCC6","X-ray repair cross-complementing protein 6","P12956",4.08993255611893,0.0032642195,"PE"
"276","CCT7","T-complex protein 1 subunit eta","Q99832",4.07486784706055,0.0097013433,"PE"
"277","HADHA","Trifunctional enzyme subunit alpha, mitochondrial","P40939",4.06232929421066,0.00071895513,"PE"
"278","ADRA2A","Alpha-2A adrenergic receptor","P08913",4.06146429454409,0.00017633363,"PE"
"279","EMC1","ER membrane protein complex subunit 1","Q8N766",4.05919705392439,3.7890033e-05,"PE"
"280","SLC39A6","Zinc transporter ZIP6","Q13433",4.03715764408341,0.00015917538,"PE"
"281","TGFBI","Transforming growth factor-beta-induced protein ig-h3","Q15582",4.03209742894874,0.00045477896,"PE"
"282","PKM","Pyruvate kinase PKM","P14618",4.02251109958504,4.107903e-08,"PE"
"283","ACTN1","Alpha-actinin-1","P12814",4.0184349687524,0.00064533262,"PE"
"284","TMEM109","Transmembrane protein 109","Q9BVC6",4.0127841028619,0.0066889618,"PE"
"285","UBA52","Ubiquitin","P62987",3.99628249545825,0.00090202241,"PE"
"286","PRDX1","Peroxiredoxin-1","Q06830",3.98446329750531,1.0558917e-06,"PE"
"287","ECE1","Endothelin-converting enzyme 1","P42892",3.98373807769068,0.0015724263,"PE"
"288","NUMA1","Nuclear mitotic apparatus protein 1","Q14980",3.95385320730432,0.0017508424,"PE"
"289","ARG1","Arginase-1","P05089",3.95354132925102,0.00029559256,"DM"
"290","ALDOA","Fructose-bisphosphate aldolase A","P04075",3.94015008278001,0.0042251227,"DM|PE"
"291","NOMO1","Nodal modulator 1","Q15155",3.93350528079152,0.00084197021,"PE"
"292","PGD","6-phosphogluconate dehydrogenase, decarboxylating","P52209",3.92894763492035,0.0048422348,"PE"
"293","HYOU1","Hypoxia up-regulated protein 1","Q9Y4L1",3.92562115786253,0.0022272747,"PE"
"294","SND1","Staphylococcal nuclease domain-containing protein 1","Q7KZF4",3.92484519709598,0.0009624532,"PE"
"295","RRBP1","Ribosome-binding protein 1","Q9P2E9",3.88311510383626,0.00024326483,"PE"
"296","RPS29","40S ribosomal protein S29","P62273",3.88291757887229,0.0075619449,"DM"
"297","SRPRB","Signal recognition particle receptor subunit beta","Q9Y5M8",3.85146800023474,0.0014593115,"PE"
"298","CD109","CD109 antigen","Q6YHK3",3.85047205616853,0.00074851839,"PE"
"299","MAGT1","Magnesium transporter protein 1","Q9H0U3",3.84605363351389,0.0006934331,"PE"
"300","CCDC47","Coiled-coil domain-containing protein 47","Q96A33",3.84098478818183,0.00032760986,"PE"
"301","ACTB","Actin, cytoplasmic 1","P60709",3.83274379876016,0.0022227718,"PE"
"302","VCL","Vinculin","P18206",3.82924526457823,0.00095432968,"PE"
"303","RAD50","DNA repair protein RAD50","Q92878",3.80098667865936,0.024400748,"PE"
"304","ZYX","Zyxin","Q15942",3.77478672496458,0.0038665845,"PE"
"305","PIPSL","Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha","Q99755",3.77182138314072,0.00018999063,"PE"
"306","MYH14","Myosin-14","Q7Z406",3.76957748301951,0.019113861,"PE"
"307","HSP90AB1","Heat shock protein HSP 90-beta","P08238",3.75940876652834,3.4408711e-07,"PE"
"308","LDHB","L-lactate dehydrogenase B chain","P07195",3.75152858562447,0.020660434,"PE"
"309","NUDC","Nuclear migration protein nudC","Q9Y266",3.7257978947119,0.0001990701,"PE"
"310","EZR","Ezrin","P15311",3.70600760017112,0.00026064689,"PE"
"311","EEF1G","Elongation factor 1-gamma","P26641",3.68153089443634,3.1433981e-05,"PE"
"312","PDLIM5","PDZ and LIM domain protein 5","Q96HC4",3.67309544562817,0.0006281872,"PE"
"313","MYH9","Myosin-9","P35579",3.66385699205655,0.0063050138,"PE|RE"
"314","GPI","Glucose-6-phosphate isomerase","P06744",3.65107913836833,0.0071325703,"PE"
"315","HNRNPM","Heterogeneous nuclear ribonucleoprotein M","P52272",3.63085785417176,0.038543604,"DM"
"316","NSF","Vesicle-fusing ATPase","P46459",3.61645306739136,0.014878565,"PE"
"317","RAC1","Ras-related C3 botulinum toxin substrate 1","P63000",3.6157943016641,0.0025697777,"PE"
"318","IMMT","MICOS complex subunit MIC60","Q16891",3.61384836176947,0.0026159277,"PE"
"319","CYB5B","Cytochrome b5 type B","O43169",3.60689854305335,0.0021568004,"PE"
"320","GPD2","Glycerol-3-phosphate dehydrogenase, mitochondrial","P43304",3.59403171661581,0.0046736002,"PE"
"321","PGK1","Phosphoglycerate kinase 1","P00558",3.58334929605585,0.016671527,"PE"
"322","CLIC1","Chloride intracellular channel protein 1","O00299",3.57938287394212,0.032648429,"PE"
"323","CDK1","Cyclin-dependent kinase 1","P06493",3.57381211315729,0.011707082,"PE"
"324","ATL3","Atlastin-3","Q6DD88",3.55628115709278,0.0087556876,"PE"
"325","CDC42SE2","CDC42 small effector protein 2","Q9NRR3",3.55055715685978,0.028649358,"PE"
"326","PRKCA","Protein kinase C alpha type","P17252",3.54128681321255,0.030879907,"PE"
"327","ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial","P11310",3.53576006958776,0.0070898328,"PE"
"328","TRIP13","Pachytene checkpoint protein 2 homolog","Q15645",3.53348638109688,0.013037046,"DM|PE"
"329","PRMT1","Protein arginine N-methyltransferase 1","Q99873",3.52530753008359,0.015182214,"DM"
"330","DDX39B","Spliceosome RNA helicase DDX39B","Q13838",3.52406713228068,0.035178185,"PE|RE"
"331","MTDH","Protein LYRIC","Q86UE4",3.52235828850524,0.0052671963,"PE"
"332","LMNA","Prelamin-A/C","P02545",3.52078351265854,0.0026493976,"PE"
"333","PPFIBP1","Liprin-beta-1","Q86W92",3.50685041477182,0.0029281597,"PE"
"334","LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","P42704",3.49914240105653,0.00075039797,"PE"
"335","TM9SF2","Transmembrane 9 superfamily member 2","Q99805",3.4899844272774,0.00026148398,"DM"
"336","PFN1","Profilin-1","P07737",3.48492724166,0.016604204,"PE"
"337","EBP","3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase","Q15125",3.4797032499526,0.017847942,"PE"
"338","MYO1B","Unconventional myosin-Ib","O43795",3.47930669480124,0.0031797369,"PE"
"339","PRDX6","Peroxiredoxin-6","P30041",3.45086801265996,0.0044980845,"PE"
"340","ESYT2","Extended synaptotagmin-2","A0FGR8",3.44835234141379,0.00063803163,"PE"
"341","TMPO","Lamina-associated polypeptide 2, isoform alpha","P42166",3.42788573674703,0.012399187,"PE"
"342","DLST","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial","P36957",3.42001847487802,0.0051603122,"PE"
"343","SLC39A10","Zinc transporter ZIP10","Q9ULF5",3.39571518093956,0.016234132,"PE"
"344","ARF4","ADP-ribosylation factor 4","P18085",3.38278517529274,0.039632257,"PE"
"345","P4HA1","Prolyl 4-hydroxylase subunit alpha-1","P13674",3.3784054396603,0.001246601,"PE"
"346","B2M","Beta-2-microglobulin","P61769",3.37761691033943,0.01181541,"PE"
"347","SLC9A3R1","Na(+)/H(+) exchange regulatory cofactor NHE-RF1","O14745",3.37737406288876,0.0018117704,"PE"
"348","PHGDH","D-3-phosphoglycerate dehydrogenase","O43175",3.36894178393099,0.00021280196,"PE"
"349","RPL23","60S ribosomal protein L23","P62829",3.36757880114069,0.010694396,"PE"
"350","VAPA","Vesicle-associated membrane protein-associated protein A","Q9P0L0",3.36124035051981,0.0058742184,"PE"
"351","YWHAQ","14-3-3 protein theta","P27348",3.35442726559421,0.0055250274,"PE"
"352","GLIPR2","Golgi-associated plant pathogenesis-related protein 1","Q9H4G4",3.35399878606054,0.00034254306,"PE"
"353","EMD","Emerin","P50402",3.35134463962933,0.007799746,"PE"
"354","LAMP2","Lysosome-associated membrane glycoprotein 2","P13473",3.34902992906122,0.0029572092,"DM"
"355","RPL21","60S ribosomal protein L21","P46778",3.3481093645614,0.0052973973,"DM"
"356","VASN","Vasorin","Q6EMK4",3.33852854313294,0.0016991174,"PE"
"357","PTPRF","Receptor-type tyrosine-protein phosphatase F","P10586",3.33410315048266,0.0081554065,"PE"
"358","SNTB2","Beta-2-syntrophin","Q13425",3.3318706304793,0.001820656,"PE"
"359","TUBB","Tubulin beta chain","P07437",3.33094977988176,4.0958899e-12,"PE"
"360","ARHGAP1","Rho GTPase-activating protein 1","Q07960",3.32689505569717,0.0049404507,"PE"
"361","CKB","Creatine kinase B-type","P12277",3.32137342483173,0.007427596,"PE"
"362","ENG","Endoglin","P17813",3.31338630733897,0.017971512,"PE"
"363","CPT1A","Carnitine O-palmitoyltransferase 1, liver isoform","P50416",3.31297308245414,0.00017355915,"PE"
"364","NAMPT","Nicotinamide phosphoribosyltransferase","P43490",3.30982748960813,0.0170123,"PE"
"365","PLIN3","Perilipin-3","O60664",3.28592375552112,0.0069320141,"DM|PE"
"366","LRRC8A","Volume-regulated anion channel subunit LRRC8A","Q8IWT6",3.27359688664967,0.0077473982,"PE"
"367","DAD1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","P61803",3.27032548543953,0.0017577522,"PE"
"368","SSR4","Translocon-associated protein subunit delta","P51571",3.26861516919342,0.0029519268,"PE"
"369","CD55","Complement decay-accelerating factor","P08174",3.26840953739721,0.016011955,"PE"
"370","FKBP4","Peptidyl-prolyl cis-trans isomerase FKBP4","Q02790",3.24631152422741,0.00054370932,"PE"
"371","GCN1L1","Translational activator GCN1","Q92616",3.24616488938483,0.0041147261,"PE"
"372","SCRIB","Protein scribble homolog","Q14160",3.2427511926578,0.0008120588,"PE"
"373","RPS13","40S ribosomal protein S13","P62277",3.24179959873954,0.026949609,"DM"
"374","CDH13","Cadherin-13","P55290",3.23539664192495,0.0006976251,"PE"
"375","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal","O00116",3.21391780552078,0.004343465,"PE"
"376","PTPRJ","Receptor-type tyrosine-protein phosphatase eta","Q12913",3.21168845935795,0.016149685,"PE"
"377","EPHA2","Ephrin type-A receptor 2","P29317",3.20174162526091,0.0052276039,"PE"
"378","MYH10","Myosin-10","P35580",3.19518513186282,0.022862269,"PE"
"379","ITGB4","Integrin beta-4","P16144",3.19401277504938,0.0033440697,"PE"
"380","SEC61B","Protein transport protein Sec61 subunit beta","P60468",3.19282982359113,0.012269041,"PE"
"381","PARK7","Protein deglycase DJ-1","Q99497",3.17340716853528,0.047978118,"PE"
"382","ANPEP","Aminopeptidase N","P15144",3.16973630039397,0.030522037,"PE"
"383","SPCS2","Signal peptidase complex subunit 2","Q15005",3.1665454725765,0.0077356081,"PE"
"384","ZDHHC5","Palmitoyltransferase ZDHHC5","Q9C0B5",3.15599190490413,0.0064524985,"PE"
"385","RPLP2","60S acidic ribosomal protein P2","P05387",3.15132725952372,0.022467759,"DM"
"386","IARS","Isoleucine--tRNA ligase, cytoplasmic","P41252",3.14187103550413,0.025413416,"DM"
"387","LMNB1","Lamin-B1","P20700",3.14055487427195,0.010113904,"PE"
"388","CLU","Clusterin","P10909",3.13861428450041,0.0013921185,"PE"
"389","TPI1","Triosephosphate isomerase","P60174",3.13010915959819,0.021413309,"PE"
"390","CASP14","Caspase-14","P31944",3.12372717785881,0.0072193136,"DM"
"391","PEF1","Peflin","Q9UBV8",3.12105470686037,0.046577547,"DM"
"392","PCBP2","Poly(rC)-binding protein 2","Q15366",3.11138256687537,1.7799301e-06,"PE"
"393","NR3C1","Glucocorticoid receptor","P04150",3.1094262078968,0.0032732468,"PE"
"394","SRP68","Signal recognition particle subunit SRP68","Q9UHB9",3.10746960657975,0.039769039,"DM"
"395","TUBB3","Tubulin beta-3 chain","Q13509",3.1032071398988,0.010948202,"PE"
"396","ARHGEF2","Rho guanine nucleotide exchange factor 2","Q92974",3.10314585814741,0.0082750022,"PE"
"397","YWHAE","14-3-3 protein epsilon","P62258",3.08702096509862,0.016866505,"PE"
"398","LIMA1","LIM domain and actin-binding protein 1","Q9UHB6",3.08672499229984,0.020056216,"PE"
"399","EPPK1","Epiplakin","P58107",3.0826735802865,0.021419225,"PE"
"400","NUP35","Nucleoporin NUP53","Q8NFH5",3.07292386493804,0.018424183,"PE"
"401","HAT1","Histone acetyltransferase type B catalytic subunit","O14929",3.06564188109809,0.0088460036,"PE"
"402","SAR1B","GTP-binding protein SAR1b","Q9Y6B6",3.04867860687291,0.017060669,"PE"
"403","ATAD3A","ATPase family AAA domain-containing protein 3A","Q9NVI7",3.02557740452155,0.00061497715,"PE"
"404","CLPTM1L","Cleft lip and palate transmembrane protein 1-like protein","Q96KA5",3.02530258092066,0.0022467729,"PE"
"405","ADAR","Double-stranded RNA-specific adenosine deaminase","P55265",3.02095881182239,0.0048428588,"DM"
"406","RCN2","Reticulocalbin-2","Q14257",3.01415460591698,0.00030812307,"PE"
"407","PRPSAP1","Phosphoribosyl pyrophosphate synthase-associated protein 1","Q14558",3.0035730368968,0.024694797,"PE"
"408","CDK11B","Cyclin-dependent kinase 11B","P21127",2.99977704496587,5.4742322e-05,"PE"
"409","PTBP3","Polypyrimidine tract-binding protein 3","O95758",2.99409705518311,0.0032494133,"PE"
"410","USO1","General vesicular transport factor p115","O60763",2.9860555330612,0.001065574,"PE"
"411","CCT3","T-complex protein 1 subunit gamma","P49368",2.9835168670377,6.6413588e-05,"PE"
"412","LIN7C","Protein lin-7 homolog C","Q9NUP9",2.97688864955036,0.015122161,"PE"
"413","TUBA1B","Tubulin alpha-1B chain","P68363",2.96931837919002,1.9003566e-11,"PE"
"414","RPL10A","60S ribosomal protein L10a","P62906",2.96531436225156,0.015854798,"DM"
"415","TOP2A","DNA topoisomerase 2-alpha","P11388",2.96485200157353,0.030436393,"PE"
"416","CD70","CD70 antigen","P32970",2.96247079283577,0.00031740408,"PE"
"417","EEF1A1","Elongation factor 1-alpha 1","P68104",2.96020230543424,3.1695443e-05,"PE"
"418","POFUT1","GDP-fucose protein O-fucosyltransferase 1","Q9H488",2.93798651826456,0.0068362989,"PE"
"419","GOT2","Aspartate aminotransferase, mitochondrial","P00505",2.9172641225142,0.0012471464,"PE"
"420","YWHAB","14-3-3 protein beta/alpha","P31946",2.91541812075611,0.012563067,"PE"
"421","UQCRC1","Cytochrome b-c1 complex subunit 1, mitochondrial","P31930",2.91443315685437,0.008193926,"PE"
"422","CTNNBL1","Beta-catenin-like protein 1","Q8WYA6",2.91353415000248,0.0036731933,"PE"
"423","PVR","Poliovirus receptor","P15151",2.90117581446336,0.020847976,"PE"
"424","VIM","Vimentin","P08670",2.87977309670038,0.00016461227,"PE"
"425","P4HA2","Prolyl 4-hydroxylase subunit alpha-2","O15460",2.87409849697533,0.0014846605,"PE"
"426","PCBP3","Poly(rC)-binding protein 3","P57721",2.86281491481796,0.0025995888,"PE"
"427","RTN3","Reticulon-3","O95197",2.86200072530601,0.021872999,"PE"
"428","PGAM1","Phosphoglycerate mutase 1","P18669",2.86093166469615,0.015022121,"PE"
"429","ACLY","ATP-citrate synthase","P53396",2.8583070809117,0.016559996,"PE"
"430","YBX1","Nuclease-sensitive element-binding protein 1","P67809",2.83769375130893,0.017286563,"DM"
"431","CCT8","T-complex protein 1 subunit theta","P50990",2.80685185744753,0.015275716,"PE"
"432","NSUN2","tRNA (cytosine(34)-C(5))-methyltransferase","Q08J23",2.8025027965078,0.017294368,"PE"
"433","PSMD11","26S proteasome non-ATPase regulatory subunit 11","O00231",2.79941422369838,0.010603269,"PE"
"434","MAT2A","S-adenosylmethionine synthase isoform type-2","P31153",2.78692369380073,0.028917095,"DM|PE"
"435","CD3EAP","DNA-directed RNA polymerase I subunit RPA34","O15446",2.7692953738388,0.036119048,"PE"
"436","RAB34","Ras-related protein Rab-34","Q9BZG1",2.76893191622199,0.0070680832,"DM|PE"
"437","RFC1","Replication factor C subunit 1","P35251",2.7667436637164,0.028231014,"PE"
"438","EIF4G1","Eukaryotic translation initiation factor 4 gamma 1","Q04637",2.7598272333687,0.027159661,"PE"
"439","XPO1","Exportin-1","O14980",2.74833327627438,0.036855608,"PE"
"440","CAT","Catalase","P04040",2.74354579040058,0.017987536,"PE"
"441","ALDH3B1","Aldehyde dehydrogenase family 3 member B1","P43353",2.74314444863985,0.013854849,"PE"
"442","RALA","Ras-related protein Ral-A","P11233",2.74156187443725,0.0039521684,"DM|PE"
"443","CYSRT1","Cysteine-rich tail protein 1","A8MQ03",2.74059578774027,0.030018618,"PE"
"444","DNAJA1","DnaJ homolog subfamily A member 1","P31689",2.74057278165676,0.04519707,"PE"
"445","RPL8","60S ribosomal protein L8","P62917",2.73558101981387,0.0036591268,"DM"
"446","C1QBP","Complement component 1 Q subcomponent-binding protein, mitochondrial","Q07021",2.7310628620375,0.024894034,"PE"
"447","MPP6","MAGUK p55 subfamily member 6","Q9NZW5",2.72932827305042,0.029599499,"PE"
"448","SYAP1","Synapse-associated protein 1","Q96A49",2.72929356742389,0.0031261747,"PE"
"449","CORO1C","Coronin-1C","Q9ULV4",2.71114045970306,0.025903888,"PE"
"450","UCK2","Uridine-cytidine kinase 2","Q9BZX2",2.70829482014677,0.0062056459,"PE"
"451","DBN1","Drebrin","Q16643",2.70282913859783,0.03447701,"PE"
"452","CCT5","T-complex protein 1 subunit epsilon","P48643",2.70243521719243,0.022312626,"PE"
"453","MCM4","DNA replication licensing factor MCM4","P33991",2.70215917931316,0.044624384,"PE"
"454","ATP6V1A","V-type proton ATPase catalytic subunit A","P38606",2.69880862591605,0.019557791,"PE"
"455","CSPG4","Chondroitin sulfate proteoglycan 4","Q6UVK1",2.69664255362196,0.0017285228,"PE"
"456","NPTN","Neuroplastin","Q9Y639",2.69606413292925,0.007941585,"PE"
"457","MAP1B","Microtubule-associated protein 1B","P46821",2.6915511387946,0.015610944,"PE"
"458","EPRS","Bifunctional glutamate/proline--tRNA ligase","P07814",2.69099601049966,0.023842968,"PE"
"459","KPNA3","Importin subunit alpha-4","O00505",2.68757868531879,0.0064386711,"PE"
"460","PSMC3","26S protease regulatory subunit 6A","P17980",2.67684129312444,0.0065688267,"PE"
"461","CMBL","Carboxymethylenebutenolidase homolog","Q96DG6",2.67592758738784,0.048160315,"DM"
"462","MTCH2","Mitochondrial carrier homolog 2","Q9Y6C9",2.67248245349989,0.020300224,"PE"
"463","PDS5A","Sister chromatid cohesion protein PDS5 homolog A","Q29RF7",2.67150664193868,0.0095553035,"PE"
"464","TUBB4B","Tubulin beta-4B chain","P68371",2.67066234853125,1.9620876e-08,"PE"
"465","APMAP","Adipocyte plasma membrane-associated protein","Q9HDC9",2.66494210242206,0.0033232716,"PE"
"466","PDXDC1","Pyridoxal-dependent decarboxylase domain-containing protein 1","Q6P996",2.64650023040212,0.030617457,"PE"
"467","CASK","Peripheral plasma membrane protein CASK","O14936",2.63114928303285,0.0096051861,"PE"
"468","PLXNB2","Plexin-B2","O15031",2.63075960182596,0.023890767,"PE"
"469","POR","NADPH--cytochrome P450 reductase","P16435",2.61840654148555,0.0078493226,"PE"
"470","EEF1A1P5","Putative elongation factor 1-alpha-like 3","Q5VTE0",2.61016124406734,0.00062623265,"PE"
"471","UBA1","Ubiquitin-like modifier-activating enzyme 1","P22314",2.60844597848342,0.036747579,"DM|PE"
"472","GCLM","Glutamate--cysteine ligase regulatory subunit","P48507",2.60830244722264,0.0069072079,"PE"
"473","PDCD6IP","Programmed cell death 6-interacting protein","Q8WUM4",2.6066502101692,0.0046790382,"PE"
"474","SDC4","Syndecan-4","P31431",2.60535964810775,0.011883763,"PE"
"475","ITGA1","Integrin alpha-1","P56199",2.57565593678038,0.0080760876,"PE"
"476","FLOT1","Flotillin-1","O75955",2.57375507004516,0.018473189,"PE"
"477","PARP1","Poly [ADP-ribose] polymerase 1","P09874",2.57232705613341,0.0046187774,"PE"
"478","SMC1A","Structural maintenance of chromosomes protein 1A","Q14683",2.5701255825035,0.026979281,"PE"
"479","CLASP2","CLIP-associating protein 2","O75122",2.5661585570878,0.02937091,"PE"
"480","SLC12A2","Solute carrier family 12 member 2","P55011",2.56383267092541,0.022247424,"PE"
"481","HSDL2","Hydroxysteroid dehydrogenase-like protein 2","Q6YN16",2.56110665210964,0.0092596924,"PE"
"482","FARSA","Phenylalanine--tRNA ligase alpha subunit","Q9Y285",2.56050111880778,0.028574821,"PE"
"483","RUVBL2","RuvB-like 2","Q9Y230",2.55276995047864,0.03582998,"DM"
"484","DLG1","Disks large homolog 1","Q12959",2.5512149694043,0.047303677,"PE"
"485","KARS","Lysine--tRNA ligase","Q15046",2.55094597179998,0.013617963,"PE"
"486","MAP4","Microtubule-associated protein 4","P27816",2.54956165150037,0.012665649,"PE"
"487","HSPB1","Heat shock protein beta-1","P04792",2.54825348490645,7.951418e-08,"PE"
"488","HMOX1","Heme oxygenase 1","P09601",2.54700596724833,0.014049929,"PE"
"489","ASNA1","ATPase ASNA1","O43681",2.54079585445871,0.010562572,"PE"
"490","IGF2R","Cation-independent mannose-6-phosphate receptor","P11717",2.53643708625689,0.0046448167,"DM"
"491","SSR3","Translocon-associated protein subunit gamma","Q9UNL2",2.52582185326827,0.0036459295,"PE"
"492","RHOG","Rho-related GTP-binding protein RhoG","P84095",2.51927554816082,0.009545072,"PE"
"493","ERBB2IP","Protein LAP2","Q96RT1",2.51872609078747,0.030307736,"PE"
"494","CYC1","Cytochrome c1, heme protein, mitochondrial","P08574",2.5116899291525,0.0050437655,"PE"
"495","NPR3","Atrial natriuretic peptide receptor 3","P17342",2.50505767585905,0.048047859,"PE"
"496","TTLL12","Tubulin--tyrosine ligase-like protein 12","Q14166",2.49834621582334,0.027524125,"PE"
"497","PIGS","GPI transamidase component PIG-S","Q96S52",2.48902963351314,0.00087543856,"PE"
"498","HIST2H3A","Histone H3.3","P84243",2.48653965648432,0.020549225,"PE"
"499","ANXA11","Annexin A11","P50995",2.48512601026801,0.01253001,"PE"
"500","TMEM165","Transmembrane protein 165","Q9HC07",2.48376409704305,0.002607207,"PE"
"501","PTK7","Inactive tyrosine-protein kinase 7","Q13308",2.48060749995922,0.011482143,"PE"
"502","RPL4","60S ribosomal protein L4","P36578",2.46628125870475,0.012560399,"DM"
"503","SLC38A1","Sodium-coupled neutral amino acid transporter 1","Q9H2H9",2.45860098878052,0.033282131,"PE"
"504","PRDX2","Peroxiredoxin-2","P32119",2.4530266508793,0.019583205,"PE"
"505","MCM6","DNA replication licensing factor MCM6","Q14566",2.45248782866879,0.0056803855,"PE"
"506","NOP58","Nucleolar protein 58","Q9Y2X3",2.45110163996291,0.0072209472,"PE"
"507","IPO7","Importin-7","O95373",2.44305559577098,0.010256258,"PE"
"508","SAR1A","GTP-binding protein SAR1a","Q9NR31",2.43684630829085,0.047043983,"PE"
"509","RCN1","Reticulocalbin-1","Q15293",2.43451699511415,0.0079693506,"PE"
"510","UNC45A","Protein unc-45 homolog A","Q9H3U1",2.42408189108971,0.022423184,"PE"
"511","NEGR1","Neuronal growth regulator 1","Q7Z3B1",2.42285142991332,0.044716515,"PE"
"512","NQO1","NAD(P)H dehydrogenase [quinone] 1","P15559",2.41973385113361,0.042806413,"PE"
"513","PODXL","Podocalyxin","O00592",2.41091369910453,0.041826259,"PE"
"514","PTGFRN","Prostaglandin F2 receptor negative regulator","Q9P2B2",2.40725397705454,0.040722892,"PE"
"515","ERLIN1","Erlin-1","O75477",2.40640425246476,0.020584507,"PE"
"516","CXCR4","C-X-C chemokine receptor type 4","P61073",2.39723316628713,0.016417986,"PE"
"517","CKAP5","Cytoskeleton-associated protein 5","Q14008",2.38629018054279,0.016704628,"PE"
"518","THY1","Thy-1 membrane glycoprotein","P04216",2.37949507721074,0.011575229,"PE"
"519","DEK","Protein DEK","P35659",2.37736269904816,0.047677357,"DM"
"520","CSTA","Cystatin-A","P01040",2.36968044382564,0.010811906,"DM"
"521","EEF1B2","Elongation factor 1-beta","P24534",2.36202101869505,0.035423707,"PE"
"522","EIF2B4","Translation initiation factor eIF-2B subunit delta","Q9UI10",2.35820965253992,0.021129703,"PE"
"523","COPB1","Coatomer subunit beta","P53618",2.35142726093135,0.047693528,"PE"
"524","ACACA","Acetyl-CoA carboxylase 1","Q13085",2.34917309613385,0.019161124,"DM"
"525","DDX47","Probable ATP-dependent RNA helicase DDX47","Q9H0S4",2.34234428086017,0.010957437,"PE"
"526","FLOT2","Flotillin-2","Q14254",2.3384522299191,0.025889052,"PE"
"527","DNM2","Dynamin-2","P50570",2.33550079223367,0.047402576,"PE"
"528","SLC30A1","Zinc transporter 1","Q9Y6M5",2.33290243114436,0.046777431,"PE"
"529","S100A9","Protein S100-A9","P06702",2.32435796552442,0.038694881,"DM"
"530","PSMA5","Proteasome subunit alpha type-5","P28066",2.31703619301938,0.01114425,"PE"
"531","EHD4","EH domain-containing protein 4","Q9H223",2.30506564733293,0.039944764,"PE"
"532","CPNE8","Copine-8","Q86YQ8",2.29612148078207,0.03695016,"PE"
"533","MYADM","Myeloid-associated differentiation marker","Q96S97",2.28995106400549,0.015716966,"DM|PE"
"534","YARS","Tyrosine--tRNA ligase, cytoplasmic","P54577",2.27277955007796,0.047026251,"PE"
"535","STIP1","Stress-induced-phosphoprotein 1","P31948",2.25279466707899,0.017201088,"PE"
"536","DDX21","Nucleolar RNA helicase 2","Q9NR30",2.25268751118923,0.032150716,"PE"
"537","SLC4A7","Sodium bicarbonate cotransporter 3","Q9Y6M7",2.25111606440864,0.0010339048,"PE"
"538","PSMD6","26S proteasome non-ATPase regulatory subunit 6","Q15008",2.24554881774678,0.031691436,"PE"
"539","QARS","Glutamine--tRNA ligase","P47897",2.24441411459794,0.012733054,"PE"
"540","SUPT16H","FACT complex subunit SPT16","Q9Y5B9",2.23975000340631,0.034038488,"PE"
"541","UNC13D","Protein unc-13 homolog D","Q70J99",2.2397371821491,0.010290312,"PE"
"542","NOB1","RNA-binding protein NOB1","Q9ULX3",2.23901745566882,0.018089443,"PE"
"543","CAV1","Caveolin-1","Q03135",2.23861957677768,0.024992827,"PE"
"544","GNA13","Guanine nucleotide-binding protein subunit alpha-13","Q14344",2.23838330908282,0.032236423,"PE"
"545","ITGA6","Integrin alpha-6","P23229",2.23531179102832,0.027736656,"PE"
"546","DNAJB11","DnaJ homolog subfamily B member 11","Q9UBS4",2.22106253070012,0.0079559619,"PE"
"547","MYO1E","Unconventional myosin-Ie","Q12965",2.21981754343784,0.023018548,"PE|RE"
"548","UBA5","Ubiquitin-like modifier-activating enzyme 5","Q9GZZ9",2.21647671885522,0.010280645,"PE"
"549","TCF25","Transcription factor 25","Q9BQ70",2.21540631921529,0.021988729,"PE"
"550","HMX3","Homeobox protein HMX3","A6NHT5",2.20890004194739,0.016407976,"PE"
"551","SCARB1","Scavenger receptor class B member 1","Q8WTV0",2.20857044004514,0.0020927151,"PE"
"552","KPRP","Keratinocyte proline-rich protein","Q5T749",2.2027502742075,0.04167584,"DM"
"553","RRP1","Ribosomal RNA processing protein 1 homolog A","P56182",2.20104588821554,0.012003683,"PE"
"554","PCMT1","Protein-L-isoaspartate(D-aspartate) O-methyltransferase","P22061",2.20025891168119,0.047587197,"PE"
"555","FYCO1","FYVE and coiled-coil domain-containing protein 1","Q9BQS8",2.18009910282716,0.026808664,"PE"
"556","AQP1","Aquaporin-1","P29972",2.17724632494474,0.039601173,"PE"
"557","ACTR2","Actin-related protein 2","P61160",2.14964372879213,0.013367058,"PE"
"558","MAPRE1","Microtubule-associated protein RP/EB family member 1","Q15691",2.14620035401303,0.011662995,"PE"
